"id","wave","age","modularity","puberty"
1,1,8.01,0.0899059294285714,1.2
2,1,8.57,0.113116267857143,1
3,1,8.93,0.120072672714286,1.2
4,1,9.46,0.0696631147142857,1.4
5,1,9.55,0.119037903714286,1
1,2,10.02,0.107964048285714,0.6
6,1,10.19,0.0978564441428571,NA
7,1,10.4,0.0832870418571429,2
2,2,10.48,0.142487847571429,1.2
8,1,10.59,0.161915141285714,1.4
3,2,10.81,0.133491528857143,1.2
9,1,10.85,0.076291412,1.4
10,1,10.92,0.107057050285714,1.2
11,1,11.03,0.143132344285714,1.4
12,1,11.19,0.100424686142857,1.4
13,1,11.38,0.138128355428571,1.8
4,2,11.46,0.0902367008571429,1.8
14,1,11.53,0.117740847428571,1.2
5,2,11.54,0.164258667142857,1.2
15,1,11.63,0.102052495285714,2
1,3,11.95,0.0937298346,1.4
16,1,12.13,0.150717547857143,1.2
7,2,12.16,0.073503727,2.2
6,2,12.18,0.152563174,3
17,1,12.19,0.154000549714286,2
18,1,12.24,0.0970932481428571,1.4
19,1,12.43,0.177500460428571,0.8
20,1,12.46,0.146082793571429,1.4
2,3,12.48,0.1429678594,1
8,2,12.64,0.160040874857143,2.2
3,3,12.75,0.1716995514,1.8
21,1,12.84,0.101961643571429,1.8
9,2,12.87,0.119375105571429,2
22,1,12.93,0.110846799714286,2
10,2,12.94,0.126538723857143,2.2
23,1,12.96,0.147318199571429,1.4
24,1,12.97,0.100330241571429,2
25,1,13.02,0.170189266571429,2.2
26,1,13.06,0.144545457,2.6
27,1,13.08,0.196059589285714,2.2
11,2,13.08,0.180515221142857,1.8
12,2,13.13,0.121881766857143,1.6
28,1,13.14,0.146468210428571,3.2
29,1,13.39,0.126019275714286,2.2
30,1,13.41,0.158492760428571,2.8
14,2,13.51,0.14352768,1.6
4,3,13.53,0.1290048464,2.8
13,2,13.58,0.203726390571429,2.2
31,1,13.59,0.148482759428571,2.2
5,3,13.61,0.1304553134,2.2
32,1,13.84,0.167296763571429,3.6
15,2,13.86,0.154491197428571,3.6
33,1,13.89,0.117590485285714,2.2
34,1,13.92,0.172219499285714,3.2
35,1,13.98,0.160526126428571,3.4
36,1,14.03,0.114437841285714,3.4
16,2,14.1,0.163011972857143,1.6
18,2,14.2,0.124653421,2
17,2,14.2,0.132665004714286,2.4
37,1,14.25,0.159136528571429,3.8
19,2,14.28,0.174054145571429,2.2
7,3,14.45,0.0920705244,3.4
20,2,14.45,0.154617705571429,2.8
38,1,14.53,0.108796820714286,1.2
6,3,14.53,0.1635803788,3.8
8,3,14.57,0.17278222,3.4
39,1,14.64,0.146723888857143,1.8
40,1,14.8,0.110333144714286,2.8
9,3,14.84,0.1071666688,3.2
21,2,14.85,0.132487048571429,2.4
22,2,14.9,0.176991095285714,3.2
10,3,14.93,0.1455532574,2.4
24,2,14.93,0.119183257,2.8
23,2,15.01,0.173378960285714,2.6
25,2,15.02,0.232854423714286,3.4
26,2,15.06,0.145320605285714,2.6
41,1,15.09,0.141502937285714,3.4
42,1,15.09,0.164976306,3
11,3,15.1,0.1469571354,NA
43,1,15.1,0.136130193428571,3.4
12,3,15.19,0.1015390646,2.6
44,1,15.19,0.137800952428571,3.4
28,2,15.19,0.157543408285714,3.2
27,2,15.3,0.184597487428571,2.4
45,1,15.36,0.147781492714286,3.4
46,1,15.4,0.172342726,2.4
29,2,15.57,0.195534409,3.6
13,3,15.57,0.18041177,2.4
14,3,15.58,0.1211391096,2.6
31,2,15.59,0.155589322428571,3.8
47,1,15.68,0.178540036571429,3.8
48,1,15.69,0.162625825857143,3.6
49,1,15.73,0.0977774502857143,3.2
30,2,15.73,0.182638936142857,3.4
32,2,15.82,0.204507007857143,3.4
50,1,15.83,0.147679323428571,3.8
35,2,15.85,0.177086914571429,3.8
15,3,15.87,0.1543243812,3.8
34,2,15.91,0.106384286571429,3.4
33,2,15.93,0.0997259765714286,3
51,1,16.06,0.150958843285714,3.4
36,2,16.06,0.164740861857143,4
52,1,16.07,0.120398099285714,4
16,3,16.15,0.1931821808,2.8
18,3,16.19,0.1298425832,3
17,3,16.19,0.16897105,3.4
37,2,16.33,0.177059567714286,4
19,3,16.38,0.1630854264,3.4
53,1,16.38,0.149485979,3.6
20,3,16.46,0.123623996,3.6
54,1,16.49,0.175420634857143,3.4
55,1,16.5,0.157561619714286,2.6
38,2,16.55,0.10581268,3.4
56,1,16.66,0.184343314428571,3
39,2,16.66,0.120824561142857,3.4
57,1,16.7,0.126824285428571,3
58,1,16.73,0.106125096428571,3
40,2,16.8,0.101538603714286,3.2
21,3,16.85,0.1481563494,2.6
26,3,16.97,0.148537783,3
22,3,16.97,0.11761016,3.8
43,2,16.97,0.186131686,3.4
25,3,16.99,0.1858207466,3.6
23,3,17.03,0.1239864482,3.4
44,2,17.07,0.162005892142857,2.8
41,2,17.08,0.157512477714286,3.8
59,1,17.11,0.149710859142857,3.4
42,2,17.13,0.140911381571429,2.8
24,3,17.14,0.1390214542,3.4
27,3,17.2,0.0964875994,3
46,2,17.23,0.167133066857143,2.8
28,3,17.23,0.1020249272,3.6
60,1,17.28,0.115909404428571,2.4
45,2,17.36,0.170010300285714,3.6
61,1,17.4,0.123221621714286,3.2
29,3,17.47,0.1700461626,3
49,2,17.49,0.148036125857143,3
62,1,17.51,0.135015132142857,2.8
30,3,17.55,0.0919815378,3.2
31,3,17.59,0.1712693264,3.2
63,1,17.6,0.144570795285714,3.4
47,2,17.62,0.183814012285714,3.4
64,1,17.66,0.136308786,3.6
65,1,17.66,0.138464400142857,3.6
48,2,17.69,0.189274614428571,3.6
66,1,17.69,0.162858459,3.4
32,3,17.83,0.145647105,3.4
67,1,17.85,0.158122748,3.6
35,3,17.89,0.161476783,4
34,3,17.9,0.214282316,3
50,2,17.95,0.165853167428571,4
52,2,17.97,0.130933217857143,3.4
51,2,18.02,0.160853560285714,NA
36,3,18.09,0.1723474206,NA
33,3,18.1,0.0936375246,NA
53,2,18.3,0.203849443714286,NA
37,3,18.32,0.161123334,NA
55,2,18.48,0.185065608428571,NA
39,3,18.52,0.1347287438,NA
58,2,18.55,0.0835395497142857,NA
38,3,18.57,0.1105408458,NA
54,2,18.58,0.129273500857143,NA
57,2,18.65,0.148006618571429,NA
56,2,18.69,0.150972578428571,NA
40,3,18.87,0.1196429416,NA
43,3,18.91,0.1933981728,NA
41,3,18.98,0.142122293,NA
44,3,19.04,0.1461065712,NA
59,2,19.11,0.154164278857143,NA
42,3,19.22,0.0914723208,NA
