"site","school","id","wave","male","math","sci"
3,201,1033,1,1,52.19,45.48
3,201,1033,2,1,45.14,47.88
3,201,1033,3,1,50.34,51.53
3,201,1033,4,1,52.57,50.22
3,201,1378,1,1,36.14,41.65
3,201,1378,2,1,37.86,36.71
3,201,1378,3,1,42.81,53.38
3,201,1378,4,1,39.14,NA
3,201,1730,4,0,69.11,62.35
3,201,1730,1,0,63.75,61.13
3,201,1730,2,0,62.71,66.54
3,201,1730,3,0,66.48,65.25
3,201,1794,2,1,53.98,NA
3,201,1794,3,1,61.07,51.97
3,201,1794,4,1,62.6,NA
3,201,1794,1,1,54.11,NA
3,201,2041,1,1,59.9,51.14
3,201,2041,2,1,54.26,51.51
3,201,2041,3,1,64.47,57.91
3,201,2041,4,1,68.9,57.95
3,201,2063,1,0,49.24,35.93
3,201,2063,2,0,38.83,41.21
3,201,2063,3,0,55.51,44.16
3,201,2063,4,0,47.27,44.43
3,201,2417,1,0,55.66,62.77
3,201,2417,4,0,67.63,64.84
3,201,2417,2,0,61.09,58.94
3,201,2417,3,0,63.82,64.91
3,201,2630,4,0,69.56,67.5
3,201,2630,1,0,60.27,59.7
3,201,2630,2,0,64.52,61.41
3,201,2630,3,0,66.64,65.22
3,201,3299,1,0,53.37,58.84
3,201,3299,2,0,NA,NA
3,201,3299,3,0,59.41,NA
3,201,3299,4,0,NA,NA
3,201,3803,1,0,64.7,38.82
3,201,3803,2,0,NA,NA
3,201,3803,3,0,64.03,57.8
3,201,3803,4,0,64.75,NA
3,201,3819,1,1,71.07,71.93
3,201,3819,2,1,78.52,71.55
3,201,3819,3,1,81.66,74.15
3,201,3819,4,1,78.77,79.18
3,201,4168,3,1,58.45,60.7
3,201,4168,4,1,57.4,56.91
3,201,4168,1,1,41.56,56.99
3,201,4168,2,1,36.89,48.57
3,201,4294,2,0,61.9,55.76
3,201,4294,3,0,78.31,57.67
3,201,4294,4,0,79.07,63.45
3,201,4294,1,0,59.37,57.14
3,201,4768,2,0,54.4,56.35
3,201,4768,1,0,47.11,54.84
3,201,4768,3,0,54.7,60.83
3,201,4768,4,0,56.16,58.44
3,201,5280,1,0,56.01,61.37
3,201,5280,2,0,63.67,66.54
3,201,5280,3,0,67.68,64.78
3,201,5280,4,0,69.66,62.48
3,201,5593,1,0,42.66,43.51
3,201,5593,4,0,48.5,53
3,201,5593,2,0,NA,NA
3,201,5593,3,0,54.88,52.92
3,201,5682,3,0,72.38,65.82
3,201,5682,4,0,84.56,61.57
3,201,5682,1,0,66.54,64.33
3,201,5682,2,0,NA,61.41
3,201,5881,1,1,68.92,60.1
3,201,5881,2,1,72.06,59.38
3,201,5881,3,1,70,59.84
3,201,5881,4,1,75.05,64.89
3,201,6080,1,0,63.48,53.22
3,201,6080,2,0,63.96,64.61
3,201,6080,3,0,65.59,65.32
3,201,6080,4,0,75.09,68.03
3,201,6469,1,1,57.17,56.3
3,201,6469,2,1,54.22,52.2
3,201,6469,4,1,61.16,57.81
3,201,6469,3,1,62.72,60.37
3,201,6611,1,0,56.93,65.36
3,201,6611,2,0,NA,62.21
3,201,6611,3,0,62.34,71.76
3,201,6611,4,0,66.01,70.18
3,201,6715,1,0,64.33,63.86
3,201,6715,2,0,68.85,63.28
3,201,6715,3,0,81.31,65.43
3,201,6715,4,0,78.24,63.39
3,201,6800,1,0,46.39,63.78
3,201,6800,2,0,55.21,61.5
3,201,6800,3,0,60.35,59.56
3,201,6800,4,0,59.19,64.31
2,202,1397,1,0,44.98,48.76
2,202,1397,2,0,40.74,46.23
2,202,1397,3,0,55.75,48.48
2,202,1397,4,0,51.39,52.83
2,202,2310,4,0,56.85,57.02
2,202,2310,1,0,48,54.48
2,202,2310,2,0,55.21,66.03
2,202,2310,3,0,58.62,58.39
2,202,3134,1,1,56.55,NA
2,202,3134,2,1,59.73,60.85
2,202,3134,3,1,NA,NA
2,202,3134,4,1,NA,NA
2,202,3882,2,0,82.14,69.27
2,202,3882,1,0,77.27,65.04
2,202,3882,3,0,83.55,71.53
2,202,3882,4,0,79.43,71.22
2,202,4591,1,0,54.81,49.22
2,202,4591,3,0,NA,51.51
2,202,4591,4,0,NA,NA
2,202,4591,2,0,57.65,46.67
2,202,4626,2,1,NA,70.28
2,202,4626,3,1,71.62,69.15
2,202,4626,4,1,NA,NA
2,202,4626,1,1,70.19,65.41
2,202,5031,2,1,73.48,68.74
2,202,5031,4,1,80.76,77.15
2,202,5031,3,1,79.81,70.9
2,202,5031,1,1,NA,61.37
2,202,5789,3,1,54.91,58.69
2,202,5789,4,1,NA,NA
2,202,5789,1,1,NA,41.61
2,202,5789,2,1,58.92,51.87
2,202,5819,2,1,48.71,48.67
2,202,5819,4,1,NA,39.26
2,202,5819,1,1,43.73,39.78
2,202,5819,3,1,NA,45.14
4,204,1071,2,0,73.3,59.62
4,204,1071,3,0,73.82,65.49
4,204,1071,4,0,79.79,NA
4,204,1071,1,0,64.62,52.99
4,204,1095,1,1,75.61,NA
4,204,1095,2,1,73.7,64.12
4,204,1095,3,1,NA,NA
4,204,1095,4,1,NA,NA
4,204,1235,2,1,NA,66.78
4,204,1235,4,1,56.13,68.65
4,204,1235,1,1,56.72,64.88
4,204,1235,3,1,NA,NA
4,204,1250,2,0,49.15,61.2
4,204,1250,1,0,42.83,61.69
4,204,1250,3,0,56.56,62.96
4,204,1250,4,0,NA,NA
4,204,1289,1,1,92.08,84.66
4,204,1289,2,1,95.26,91.33
4,204,1289,3,1,NA,NA
4,204,1289,4,1,NA,NA
4,204,1330,4,0,84.54,63.81
4,204,1330,1,0,50.03,60.49
4,204,1330,2,0,56.45,59.62
4,204,1330,3,0,59.38,65.09
4,204,1452,1,0,76.49,69.11
4,204,1452,2,0,88.87,76.02
4,204,1452,3,0,97.39,75.7
4,204,1452,4,0,91.45,78.8
4,204,1480,1,1,52.4,58.9
4,204,1480,2,1,52.07,64.68
4,204,1480,3,1,NA,64.25
4,204,1480,4,1,NA,61.77
4,204,1550,1,0,58.68,55.49
4,204,1550,2,0,53.72,52.66
4,204,1550,3,0,NA,53.2
4,204,1550,4,0,NA,NA
4,204,1685,1,0,70.41,69.68
4,204,1685,2,0,76.57,72.26
4,204,1685,3,0,87.75,74.32
4,204,1685,4,0,NA,NA
4,204,1686,1,1,73.51,71.53
4,204,1686,2,1,75.57,72.86
4,204,1686,3,1,80.25,77.25
4,204,1686,4,1,NA,NA
4,204,1780,2,1,NA,54.09
4,204,1780,3,1,NA,NA
4,204,1780,4,1,NA,NA
4,204,1780,1,1,48.46,46.59
4,204,1804,1,0,71.32,67.84
4,204,1804,2,0,75.31,68.04
4,204,1804,3,0,83.53,72.89
4,204,1804,4,0,NA,NA
4,204,1944,3,0,88.35,79.89
4,204,1944,4,0,93.02,89.2
4,204,1944,1,0,80.21,67.95
4,204,1944,2,0,83.71,75.9
4,204,2051,2,0,69.96,NA
4,204,2051,3,0,NA,NA
4,204,2051,1,0,62.78,60.29
4,204,2051,4,0,NA,NA
4,204,2066,1,0,68.43,56.19
4,204,2066,2,0,71.76,65.53
4,204,2066,3,0,68.28,NA
4,204,2066,4,0,NA,51
4,204,2144,1,1,90.18,89.65
4,204,2144,2,1,NA,83.58
4,204,2144,3,1,88.71,87.32
4,204,2144,4,1,NA,NA
4,204,2192,3,1,NA,NA
4,204,2192,4,1,NA,NA
4,204,2192,2,1,93.14,84.61
4,204,2192,1,1,84.63,78.38
4,204,2227,2,1,44.57,67.82
4,204,2227,1,1,51.78,64.05
4,204,2227,3,1,NA,67.85
4,204,2227,4,1,NA,NA
4,204,2250,1,0,84.05,68.24
4,204,2250,2,0,89.89,71.76
4,204,2250,3,0,90.4,76.49
4,204,2250,4,0,91.3,88.23
4,204,2266,1,1,62.74,68.59
4,204,2266,2,1,73.01,71.63
4,204,2266,3,1,NA,NA
4,204,2266,4,1,NA,NA
4,204,2321,1,0,52.96,58.07
4,204,2321,2,0,59.33,58.49
4,204,2321,3,0,55.62,55.6
4,204,2321,4,0,45.5,NA
4,204,2338,1,0,77.85,64.29
4,204,2338,2,0,86.93,64.99
4,204,2338,3,0,90.16,68.07
4,204,2338,4,0,91.4,66.93
4,204,2534,1,1,77.43,75.61
4,204,2534,2,1,NA,NA
4,204,2534,3,1,NA,NA
4,204,2534,4,1,NA,NA
4,204,2652,1,0,64.28,60.36
4,204,2652,2,0,65.84,62.95
4,204,2652,3,0,70.51,NA
4,204,2652,4,0,NA,NA
4,204,2914,1,1,65.44,75.4
4,204,2914,2,1,NA,NA
4,204,2914,3,1,NA,NA
4,204,2914,4,1,NA,NA
4,204,3061,2,1,82.67,82.45
4,204,3061,3,1,90.03,81.93
4,204,3061,4,1,99.3,90.55
4,204,3061,1,1,78.51,72.6
4,204,3122,1,0,55.42,57.31
4,204,3122,2,0,55.14,51.32
4,204,3122,3,0,NA,NA
4,204,3122,4,0,NA,NA
4,204,3171,1,1,66.29,60.39
4,204,3171,2,1,72.37,63.89
4,204,3171,3,1,NA,65.41
4,204,3171,4,1,NA,NA
4,204,3244,1,0,74.47,62.97
4,204,3244,2,0,NA,64.96
4,204,3244,3,0,NA,66
4,204,3244,4,0,NA,NA
4,204,3322,1,1,76.19,69.29
4,204,3322,2,1,85.73,73.94
4,204,3322,3,1,NA,NA
4,204,3322,4,1,NA,NA
4,204,3539,3,1,79.07,77.59
4,204,3539,2,1,75.37,73.68
4,204,3539,1,1,71.25,69.56
4,204,3539,4,1,NA,NA
4,204,3584,1,0,57.96,60.68
4,204,3584,2,0,NA,53.52
4,204,3584,3,0,NA,NA
4,204,3584,4,0,NA,NA
4,204,3597,1,0,49.22,60.64
4,204,3597,2,0,44.93,53.96
4,204,3597,3,0,37.63,NA
4,204,3597,4,0,NA,NA
4,204,3656,1,0,NA,55.09
4,204,3656,2,0,63.21,65.13
4,204,3656,3,0,NA,NA
4,204,3656,4,0,NA,NA
4,204,3988,1,0,69.38,63.18
4,204,3988,2,0,NA,NA
4,204,3988,3,0,NA,NA
4,204,3988,4,0,NA,NA
4,204,4124,1,1,74.8,67.86
4,204,4124,2,1,78.34,73.95
4,204,4124,3,1,85.34,76.53
4,204,4124,4,1,87.43,82.58
4,204,4182,1,0,65.68,67.7
4,204,4182,2,0,67.87,67.52
4,204,4182,3,0,63.6,68.78
4,204,4182,4,0,NA,NA
4,204,4225,3,0,71.02,54.97
4,204,4225,4,0,NA,61.73
4,204,4225,1,0,62.53,52.39
4,204,4225,2,0,68.25,55.27
4,204,4491,1,0,70.1,62.69
4,204,4491,2,0,70.89,66.23
4,204,4491,3,0,72.73,60.65
4,204,4491,4,0,NA,NA
4,204,4674,3,1,NA,NA
4,204,4674,4,1,NA,NA
4,204,4674,1,1,NA,NA
4,204,4674,2,1,NA,NA
4,204,4963,1,0,61.54,53.66
4,204,4963,2,0,67.86,54.56
4,204,4963,3,0,NA,62.49
4,204,4963,4,0,NA,NA
4,204,5202,4,0,93.3,88.24
4,204,5202,1,0,69.02,67.57
4,204,5202,2,0,80.96,71.32
4,204,5202,3,0,82.83,70.31
4,204,5230,1,0,56.95,63.21
4,204,5230,2,0,70.12,67.59
