1	2	1	0	0	.	0
2	.	1	.	.	.	0
3	0	1	0	1	.	0
4	4	3	5	4	.	0
5	2	.	5	6.5	.	1
6	2	5	1	5	.	0
7	2	3	3	7	.	0
8	3	1	1	0	.	0
9	0	1	1	0	.	0
10	.	1	.	.	.	0
11	0	0	2	0	.	0
12	.	2	0	.	.	0
13	2	5	2	5	.	0
14	.	7	6	6	5	0
15	4	.	2	.	.	0
16	2	1	0	0	.	0
17	4	0	4	4	.	0
18	2	1	4	4	.	0
19	0	1	.	2	.	0
20	.	1	1	2	1	0
21	1	.	0	0	.	0
22	.	4	6	.	.	0
23	0	1	2	2	.	0
24	0	0	1	0	.	0
25	.	2	2	1	0	0
26	3	.	3.5	6	.	0
27	.	0	1	2	1	0
28	.	4	1	.	.	0
29	0	3	2	2	.	0
30	4	2	.	3	.	1
31	4	2	2	0	.	0
32	1	1	2	1	.	0
33	.	0	0	0	0	0
34	.	3	5	5	3	1
35	1	0	.	.	.	0
36	1	.	3	3	.	0
37	0	.	0	0	2	0
38	.	0	.	0	0	0
39	1	.	.	2	1	0
40	5	4	.	5	.	0
41	4	3	3	2	.	0
42	0	.	1	0	1	0
43	0	1	.	.	.	0
44	4	7	.	.	.	0
45	4	2	1	.	.	0
46	2	.	1	2	1	0
47	.	1	0	3	.	0
48	3	4	3	3	.	1
49	.	0	0	.	.	0
50	1	3	.	.	.	0
51	1	.	1	0	1	0
52	0	.	2	1	.	0
53	4	3	4	4	.	0
54	1	.	0	2	.	0
55	.	0	6	.	.	0
56	0	0	1	1	.	0
57	0	2	.	1	.	0
58	0	0	0	0	.	0
59	.	3	2	3	4	0
60	1	.	0	3	.	0
61	2	0	0	0	.	0
62	2	1	2	1	.	0
63	1	1	1	2	.	0
64	.	1	1	.	.	0
65	.	1	3	2	1	0
66	1	.	4	2	1	0
67	0	1	1	0	.	0
68	2	2	0	1	.	0
69	.	3	3	2	6	0
70	.	2	1	0	1	0
71	0	.	4	4	2	0
72	5	1	.	.	.	0
73	2	2	4	5	.	0
74	.	3	2	0	2	0
75	.	5	3	2	0	0
76	1	3	0	2	.	0
77	0	0	1	1	.	0
78	7	.	1	3	.	1
79	3	1	.	.	.	0
80	0	2	.	.	.	0
81	4	4	.	4	.	1
82	.	5	1	6	4	0
83	.	2	4	.	.	0
84	2	.	6	.	5	0
85	.	3	1	2	3	0
86	1	0	1	3	.	0
87	.	2	3	4	3	0
88	.	0	0	0	0	0
89	0	0	.	.	.	0
90	0	1	4	2	.	0
91	1	1	0	1	.	0
92	.	2	3	1	0	0
93	0	.	0	4	.	0
94	3	2	4	4	.	0
95	1	3	2	3	.	0
96	0	.	0	0	0	0
97	3	4	.	.	.	0
98	2	.	.	.	4	0
99	2	.	2	.	.	0
100	1	6	2	3	.	0
101	.	1	1	1	2	0
102	.	0	1	.	.	0
103	0	0	2	1	.	0
104	0	6	3	3	.	0
105	1	2	1	2	.	0
106	.	2	3	5	4	0
107	0	0	3	2	.	0
108	1	2	3	2	.	0
109	1	1	4	3	.	0
110	3	4	4	1	.	0
111	0	.	1	0	0	0
112	2	0	1	0	.	0
113	2	1	0	2	.	0
114	2	1	0	3	.	0
115	3	.	1	0	.	0
116	.	1	0	.	.	0
117	1	1	1	0	.	0
118	.	1	.	.	.	0
119	3	1	.	0	.	0
120	0	1	0	0	.	0
121	2	.	3	4	4	0
122	6	2	7	3	.	1
123	1	1	0	1	.	0
124	2	4	1	1	.	0
125	2	2	4	3	.	0
126	.	3	8	.	.	0
127	2	5	5	7	.	0
128	.	4	3	3	5	0
129	.	5	5	5	.	0
130	.	3	3	.	.	0
131	2	1	0	2	.	0
132	1	3	5	8	.	1
133	.	2	1	.	.	0
134	0	.	.	.	.	0
135	0	0	.	.	.	0
136	1	3	3	3	.	0
137	0	0	2	2	.	0
138	5	2	0	.	.	0
139	1	1	0	0	.	0
140	0	1	1	0	.	0
141	2	2	3	2	.	0
142	1	0	1	0	.	0
143	2	3	2	0	.	0
144	.	0	2	1	1	0
145	4	2	3	1	.	0
146	1	2	1	2	.	0
147	0	0	.	.	.	0
148	1	0	2	0	.	0
149	5	.	4	5	5	1
150	4	4	8	.	.	0
151	1	2	.	2	.	0
152	1	0	0	0	.	0
153	2	0	1	0	.	0
154	2	4	4	4	.	0
155	3	2	.	1	.	0
156	3	4	3	5	.	0
157	0	0	0	1	.	0
158	2	4	.	.	.	0
159	.	3	.	2	.	0
160	.	0	3	1	1	0
161	.	1	2	.	.	0
162	6	5	3	4	.	0
163	0	0	2	5	.	0
164	4	.	3	3.5	.	0
165	1	.	.	2	0	0
166	1	2	.	.	.	0
167	2	2	3	2	.	0
168	3	2	.	.	.	0
169	.	0	4	5	3	0
170	3	5	.	.	.	0
171	.	0	0	.	.	0
172	0	.	0	0	.	0
173	1	1	1	0	.	0
174	2	.	.	.	.	0
175	.	2	2	7	.	0
176	3	6	7	9	.	1
177	2	.	6	5	4	0
178	.	6	7	.	.	1
179	0	2	1	0	.	0
180	.	0	7	.	.	0
181	.	1	0	0	.	0
182	.	6	6	3	4	0
183	.	2	5	1	2	0
184	2	1	.	3	.	0
185	0	.	0	0	0	0
186	0	0	1	2	.	0
187	0	0	1	2	.	0
188	0	.	0	.	.	0
189	1	4	1	1	.	0
190	.	3	1	1	0	0
191	1	3	3	5	.	0
192	1	0	0	0	.	0
193	0	0	2	1	.	0
194	0	1	.	.	.	0
195	2	0	3	4	.	0
196	3	.	1	0	7	0
197	.	0	2	.	.	0
198	4	1	.	.	.	1
199	0	3	.	.	.	0
200	.	4	2	0	0	0
201	.	2	1	4	.	0
202	1	1	0	2	.	0
203	0	.	3	3.5	.	0
204	2	5	.	.	.	1
205	.	0	1	1	3	0
206	2	1	.	1	.	0
207	2	6	3	5	.	1
208	.	5	0	5	3	0
209	2	.	.	.	.	0
210	.	1	2	2	0	0
211	1	2	2	1	.	0
212	0	1	1	3	.	0
213	.	1	.	4	0	0
214	1	2	2	4	.	0
215	1	1	2	6	.	0
216	1	4	1	.	.	0
217	0	2	3	2	.	0
218	1	.	1	.	.	0
219	.	0	1	0	0	0
220	2	3	3	1	.	0
221	0	0	0	0	.	0
222	1	0	0	0	.	0
223	1	2	3	.	.	0
224	2	1	.	1	.	0
225	.	0	0	0	4	0
226	1	2	1	1	.	0
227	.	1	0	.	.	0
228	1	1	4	5	.	0
229	.	1	.	.	.	0
230	.	0	0	1	0	0
231	1	1	0	5	.	0
232	0	1	.	2	2	0
233	4	6	.	.	.	1
234	.	0	1	.	.	0
235	0	.	.	.	1	0
236	0	1	1	1	.	0
237	0	.	.	0	.	0
238	0	3	.	.	.	0
239	.	2	0	.	.	0
240	1	.	.	.	.	0
241	4	8	.	.	.	1
242	.	0	2	0	0	0
243	.	5	.	0	0	0
244	.	2	1	1	2	0
245	0	1	.	0	.	0
246	0	.	0	.	0	0
247	1	0	2	4	.	0
248	0	.	0	0	0	0
249	.	1	0	1	0	0
250	.	6	5	4	5	0
251	5	2	1	2	.	0
252	3	1	1	1	.	0
253	0	0	1	1	.	0
254	.	1	0	1	0	0
255	0	2	0	.	1	0
256	1	2	1	3	.	0
257	.	0	1	2	0	0
258	.	1	1	0	0	0
259	1	3	2	5	.	0
260	1	2	1	2	.	0
261	0	0	0	0	.	0
262	.	3	4	1	1	0
263	5	.	2	.	1	0
264	0	0	0	0	.	0
265	3	.	.	.	.	0
266	0	1	1	2	.	0
267	.	5	10	8	10	0
268	1	.	1	0	0	0
269	.	4	2	2	2	0
270	.	2	2	1	3	0
271	0	.	0	0	.	0
272	.	1	0	3	0	0
273	1	.	2	1	2	0
274	3	.	2	.	.	0
275	3	.	1	1	.	0
276	5	6	.	.	.	1
277	3	0	.	.	.	0
278	.	1	1	.	.	0
279	3	5	1	4	.	0
280	.	0	1	3	3	0
281	2	2	0	.	.	0
282	0	0	1	0	.	0
283	4	.	2	.	.	0
284	0	2	.	.	.	0
285	1	0	2	0	.	0
286	0	0	0	0	.	0
287	.	0	2	2	4	1
288	2	.	0	2	.	0
289	2	5	.	.	.	0
290	.	1	1	2	1	0
291	1	2	2	4	.	0
292	.	1	3	0	0	1
293	1	4	4	5	.	0
294	.	2	4	4	0	0
295	.	2	2	.	.	0
296	0	2	.	.	.	0
297	1	.	1	.	.	0
298	.	0	0	.	.	0
299	.	1	.	0	2	0
300	.	0	0	1	0	0
301	6	2	0	1	.	0
302	.	1	.	0	0	0
303	2	2	.	.	.	0
304	4	.	2	2	3	0
305	1	1	3	5	.	0
306	1	.	1	1	.	0
307	5	1	0	.	.	0
308	2	.	2	.	.	0
309	0	.	0	0	0	0
310	.	0	0	0	0	0
311	0	.	2	5	3	0
312	1	.	4	2	4	0
313	0	1	1	2	.	0
314	3	.	0	10	.	1
315	2	3	2	2	.	0
316	0	6	0	3	.	0
317	.	4	4	3	2	0
318	1	0	.	.	.	0
319	0	0	2	0	.	0
320	3	6	.	.	.	0
321	2	2	0	0	.	0
322	0	0	0	0	.	0
323	.	0	.	.	.	0
324	2	3	.	.	.	0
325	1	1	.	.	.	0
326	.	3	0	4	1	0
327	.	0	3	.	.	0
328	2	0	0	2	.	0
329	2	7	.	.	.	1
330	0	2	.	.	.	0
331	1	0	0	0	.	0
332	3	0	0	5	.	1
333	1	0	.	0	.	0
334	0	0	0	0	.	0
335	5	6	3	4	.	0
336	3	0	0	0	.	0
337	.	2	0	0	0	0
338	3	.	2	4	3	0
339	5	.	2	1	7	0
340	3	0	.	.	.	0
341	3	0	3	0	.	0
342	.	4	.	2	0	0
343	.	1	0	0	0	0
344	.	6	7	.	.	1
345	3	6	4	5	.	0
346	0	0	2	0	.	0
347	.	1	3	3	1	0
348	2	1	1	1	.	0
349	0	4	10	7	.	0
350	2	2	2	2	.	1
351	.	1	0	0	3	0
352	.	2	3	6	5	0
353	.	4	0	.	6	0
354	0	3	1	0	.	0
355	3	.	6	.	.	0
356	.	1	0	.	0	0
357	0	0	.	0	1	0
358	0	1	0	1	.	0
359	1	0	0	0	.	0
360	.	3	2	2	2	0
361	.	6	6	.	.	0
362	1	3	2	3	.	0
363	.	3	6	3	3	0
364	3	.	1	0	0	0
365	0	.	0	.	.	0
366	.	5	3	.	.	1
367	0	2	.	.	.	0
368	.	3	5	0	0	0
369	0	0	0	0	.	0
370	9	8	10	9	.	1
371	1	0	0	.	.	0
372	2	6	6	6	.	0
373	1	5	2	2	.	0
374	4	8	6	.	.	0
375	0	1	0	0	.	0
376	.	0	0	3	0	0
377	0	3	.	.	.	0
378	.	2	.	0	2	1
379	0	1	1	1	.	0
380	7	.	5	5	4	0
381	0	9	.	.	.	0
382	3	.	9	4	7	1
383	2	0	1	2	.	0
384	.	4	8	.	.	0
385	0	0	0	0	.	0
386	0	0	.	.	.	0
387	1	0	1	2	.	0
388	0	3	4	1	.	0
389	.	1	3	1	5	0
390	3	1	7	4	.	0
391	0	0	0	0	.	0
392	1	3	3	2	.	0
393	3	2	.	5	.	0
394	0	0	0	.	.	0
395	1	1	0	1	.	0
396	0	0	.	0	.	0
397	2	1	4	1	.	0
398	0	2	0	1	.	0
399	.	1	0	.	.	0
400	0	2	.	.	.	0
401	.	1	1	1	1	0
402	2	2	0	0	.	0
403	3	3	2	9	.	0
404	.	1	0	.	.	0
405	0	.	.	.	.	0
